NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
378	0.124	0.004	0.081	0.014	0.0	1.0	30000.0
379	0.103	0.003	0.073	0.012	0.0	1.0	30000.0
380	0.047	0.001	0.033	0.006	0.0	1.0	30000.0
381	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
382	0.87	0.028	0.434	0.073	0.0	1.0	50000.0
383	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
384	1.566	0.051	0.806	0.137	0.0	1.0	40000.0
385	0.0	0.0	0.0	0.0	0.0	1.0	50000.0
386	0.333	0.011	0.235	0.041	0.0	1.0	30000.0
387	0.793	0.026	0.443	0.077	0.0	1.0	30000.0
388	0.072	0.002	0.047	0.008	0.0	1.0	50000.0
389	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
390	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
391	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
392	0.79	0.025	0.559	0.095	0.0	1.0	20000.0
393	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
394	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
395	0.547	0.018	0.315	0.053	0.0	1.0	40000.0
396	0.698	0.023	0.427	0.073	0.0	1.0	20000.0
397	0.606	0.02	0.393	0.067	0.0	1.0	30000.0
398	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
399	0.358	0.012	0.253	0.043	0.0	1.0	30000.0
400	0.773	0.025	0.401	0.069	0.0	1.0	20000.0
401	0.5	0.016	0.353	0.059	0.0	1.0	20000.0
402	0.4	0.013	0.283	0.046	0.0	1.0	20000.0
403	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
404	4.092	0.134	2.089	0.351	0.0	1.0	30000.0
405	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
406	0.03	0.001	0.021	0.004	0.0	1.0	30000.0
407	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
408	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
409	0.213	0.007	0.151	0.025	0.0	1.0	30000.0
410	1.673	0.055	0.886	0.15	0.0	1.0	20000.0
411	0.968	0.032	0.483	0.08	0.0	1.0	30000.0
412	0.419	0.013	0.296	0.049	0.0	1.0	40000.0
413	2.162	0.071	1.367	0.233	0.0	1.0	50000.0
414	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
415	0.797	0.026	0.487	0.085	0.0	1.0	50000.0
416	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
417	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
418	0.667	0.022	0.471	0.082	0.0	1.0	30000.0
419	0.992	0.032	0.601	0.102	0.0	1.0	30000.0
420	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
421	0.005	0.0	0.003	0.0	0.0	1.0	30000.0
422	1.271	0.042	0.827	0.146	0.0	1.0	20000.0
423	3.644	0.119	1.727	0.293	0.0	1.0	30000.0
424	0.464	0.015	0.318	0.055	0.0	1.0	20000.0
425	0.386	0.013	0.236	0.039	0.0	1.0	40000.0
426	5.454	0.179	2.327	0.392	0.0	1.0	20000.0
427	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
428	0.372	0.012	0.257	0.043	0.0	1.0	30000.0
429	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
430	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
431	0.004	0.0	0.002	0.0	0.0	1.0	20000.0
432	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
433	2.972	0.098	1.412	0.244	0.0	1.0	30000.0
434	0.223	0.007	0.157	0.027	0.0	1.0	20000.0
435	1.082	0.036	0.669	0.113	0.0	1.0	20000.0
436	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
437	4.293	0.141	2.343	0.4	0.0	1.0	20000.0
438	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
439	2.137	0.07	1.155	0.193	0.0	1.0	40000.0
440	0.439	0.014	0.3	0.05	0.0	1.0	50000.0
441	2.831	0.093	1.432	0.243	0.0	1.0	30000.0
442	0.267	0.009	0.189	0.032	0.0	1.0	20000.0
443	2.664	0.088	1.304	0.222	0.0	1.0	30000.0
444	1.337	0.044	0.864	0.144	0.0	1.0	30000.0
445	0.4	0.013	0.283	0.048	0.0	1.0	20000.0
446	0.456	0.015	0.323	0.054	0.0	1.0	80000.0
447	0.754	0.025	0.504	0.088	0.0	1.0	20000.0
448	2.188	0.072	1.152	0.197	0.0	1.0	20000.0
449	0.351	0.012	0.217	0.037	0.0	1.0	40000.0
450	0.416	0.014	0.274	0.047	0.0	1.0	40000.0
451	0.733	0.024	0.431	0.071	0.0	1.0	20000.0
452	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
453	1.04	0.034	0.734	0.128	0.0	1.0	30000.0
454	1.143	0.037	0.743	0.128	0.0	1.0	20000.0
455	0.58	0.019	0.359	0.059	0.0	1.0	20000.0
