NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
452	1134.536	1.894	157.061	2.279	0.0	0.998	20000.0
453	1198.893	2.009	165.273	2.408	0.0	0.999	20000.0
454	1356.948	2.271	178.199	2.588	0.0	0.998	20000.0
455	1318.54	2.221	187.829	2.753	0.001	0.998	20000.0
456	1203.905	2.01	163.613	2.365	0.0	0.998	20000.0
457	1147.658	1.915	152.087	2.195	0.0	0.999	20000.0
458	988.742	1.649	136.262	1.97	0.0	0.999	20000.0
459	1206.114	2.015	165.221	2.397	0.0	0.998	20000.0
460	1120.364	1.87	149.023	2.154	0.0	0.999	50000.0
461	1162.648	1.941	162.519	2.359	0.0	0.998	40000.0
462	1249.323	2.09	162.948	2.367	0.0	0.998	20000.0
463	1145.828	1.923	151.603	2.214	0.0	0.998	30000.0
464	1140.232	1.903	144.267	2.092	0.0	0.999	30000.0
465	1327.719	2.219	174.142	2.524	0.001	0.998	20000.0
466	1239.847	2.073	159.322	2.31	0.0	0.998	20000.0
467	1109.203	1.851	139.932	2.03	0.0	0.999	20000.0
468	1143.828	1.911	148.224	2.15	0.0	0.999	20000.0
469	1250.367	2.097	172.033	2.503	0.0	0.999	20000.0
470	1272.205	2.131	170.057	2.473	0.0	0.998	20000.0
471	1290.383	2.162	165.343	2.403	0.0	0.999	20000.0
472	1301.817	2.177	174.068	2.529	0.0	0.999	20000.0
473	1370.919	2.3	185.591	2.701	0.0	0.998	20000.0
474	1384.997	2.312	203.255	2.944	0.001	0.998	30000.0
475	1297.342	2.165	165.224	2.393	0.001	0.998	20000.0
476	1314.114	2.199	169.907	2.465	0.0	0.998	20000.0
477	1091.489	1.821	146.382	2.12	0.0	0.999	20000.0
478	1211.448	2.022	151.304	2.19	0.0	0.999	20000.0
479	1245.909	2.083	169.633	2.462	0.0	0.998	20000.0
480	1294.556	2.159	160.909	2.331	0.0	0.998	30000.0
481	1136.837	1.899	158.9	2.304	0.0	0.998	20000.0
482	1186.891	1.985	154.831	2.248	0.0	0.999	20000.0
483	1097.472	1.831	136.378	1.976	0.0	0.999	20000.0
484	1124.654	1.881	147.476	2.142	0.0	0.999	20000.0
485	1161.767	1.938	153.301	2.223	0.0	0.998	20000.0
486	1206.956	2.016	154.417	2.238	0.0	0.998	20000.0
487	1317.496	2.202	170.156	2.471	0.0	0.998	30000.0
488	1259.054	2.102	169.341	2.458	0.0	0.998	20000.0
489	1195.801	2.0	161.479	2.347	0.0	0.999	20000.0
490	1347.492	2.249	178.643	2.591	0.001	0.998	20000.0
491	1302.066	2.175	173.244	2.513	0.0	0.998	20000.0
492	1239.663	2.07	165.654	2.398	0.0	0.998	20000.0
493	1262.698	2.112	160.692	2.339	0.0	0.999	20000.0
494	1052.251	1.757	147.756	2.146	0.0	0.999	20000.0
495	1170.482	1.954	157.64	2.287	0.0	0.998	30000.0
496	1178.148	1.968	155.495	2.255	0.0	0.998	20000.0
497	1490.626	2.494	188.556	2.737	0.001	0.998	20000.0
498	1174.697	1.962	166.129	2.405	0.0	0.998	20000.0
499	1102.765	1.845	150.019	2.179	0.0	0.999	20000.0
500	1171.936	1.96	149.383	2.171	0.0	0.999	20000.0
